town,county,acs_year,acs_population,climate_safe_housing_mvp_score,housing_need_score,social_vulnerability_score,infrastructure_efficiency_proxy_score,resilience_investment_priority_score,mvp_priority_lane,key_drivers,pct_cost_burdened_households,pct_cost_burdened_renter_households,pct_below_poverty,pct_zero_vehicle_households,pct_65_plus,pct_with_disability,pct_under_18,pct_seasonal_housing_units,pct_long_commute_workers,pct_no_internet_or_subscription_households,hazard_overlay_status
Canton,Oxford,2024,1191,43.23,61.85,40.89,36.69,43.63,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; children/family demand; long commutes,44.3,88.89,8.37,4.13,27.71,16.83,20.4,15.18,19.49,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Prentiss UT,Penobscot,2024,210,43.21,67.86,61.91,31.98,56.5,equity and recovery-capacity priority,renter cost burden; poverty; seasonal housing pressure; disability,17.53,100.0,26.19,5.83,31.9,28.57,2.86,33.51,18.0,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
York,York,2024,13986,43.15,60.28,31.46,52.0,41.1,seasonal-market pressure and year-round housing review,renter cost burden; seasonal housing pressure; children/family demand; housing cost burden,31.33,56.54,5.79,2.09,27.86,11.67,21.06,34.22,11.04,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
South Aroostook UT,Aroostook,2024,767,43.13,63.45,38.73,50.24,40.19,monitor and screen after hazard-layer ingestion,children/family demand; seasonal housing pressure; renter cost burden; housing cost burden,28.79,46.88,11.82,9.09,13.04,17.47,37.16,31.72,4.48,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Oakland,Kennebec,2024,6309,43.1,55.24,35.83,42.77,37.13,monitor and screen after hazard-layer ingestion,renter cost burden; children/family demand; housing cost burden; disability,33.46,65.73,8.07,5.62,18.21,17.35,23.84,13.34,14.54,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
West Gardiner,Kennebec,2024,3696,43.1,45.35,30.86,51.77,24.74,monitor and screen after hazard-layer ingestion,renter cost burden; children/family demand; housing cost burden; disability,26.6,57.14,9.04,0.0,17.26,15.99,18.91,4.21,4.19,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Marshfield,Washington,2024,499,43.04,56.12,37.52,43.24,34.63,monitor and screen after hazard-layer ingestion,renter cost burden; children/family demand; housing cost burden; disability,38.74,100.0,9.05,0.0,20.84,20.64,28.46,12.45,9.0,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Monmouth,Kennebec,2024,4162,43.01,56.2,33.7,46.12,35.73,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; children/family demand; seasonal housing pressure,34.1,54.6,9.3,2.17,18.4,14.86,19.01,15.84,11.38,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Milbridge,Washington,2024,1222,42.95,61.41,51.98,39.46,47.81,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; poverty; children/family demand,21.14,45.83,18.43,8.21,30.2,19.47,22.5,27.28,12.4,2.1,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
North Haven,Knox,2024,480,42.95,68.77,37.03,45.8,41.25,seasonal-market pressure and year-round housing review,seasonal housing pressure; renter cost burden; housing cost burden; older adults,44.85,47.62,8.75,1.94,32.5,6.88,19.58,58.86,1.26,3.4,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Washington,Knox,2024,1624,42.95,54.44,43.13,38.14,40.59,monitor and screen after hazard-layer ingestion,renter cost burden; poverty; disability; long commutes,27.01,55.26,15.31,3.95,21.31,18.54,14.16,9.52,18.02,1.32,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Caswell,Aroostook,2024,243,42.94,44.04,50.49,40.91,34.84,monitor and screen after hazard-layer ingestion,poverty; children/family demand; housing cost burden; disability,23.96,12.2,31.69,9.01,15.23,13.99,28.81,2.58,10.53,2.7,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Windham,Cumberland,2024,19188,42.94,41.11,23.93,55.24,27.32,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; children/family demand; long commutes,30.77,32.65,3.44,3.47,15.9,9.7,19.21,9.0,12.19,0.23,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Oxford,Oxford,2024,4333,42.9,59.13,42.51,39.96,42.01,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; children/family demand; housing cost burden,27.25,47.26,12.45,11.52,19.02,16.82,19.59,19.98,14.13,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Pembroke,Washington,2024,801,42.88,64.36,51.74,26.79,54.54,monitor and screen after hazard-layer ingestion,renter cost burden; long commutes; housing cost burden; disability,39.64,59.57,13.48,5.8,32.46,22.97,19.23,16.48,31.15,0.28,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Meddybemps,Washington,2024,139,42.64,70.76,49.85,34.22,51.58,seasonal-market pressure and year-round housing review,housing cost burden; renter cost burden; seasonal housing pressure; disability,51.79,100.0,7.19,0.0,39.57,27.34,5.04,44.08,13.51,1.43,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Cape Elizabeth,Cumberland,2024,9606,42.61,37.06,27.05,59.76,22.85,monitor and screen after hazard-layer ingestion,children/family demand; renter cost burden; housing cost burden; older adults,26.27,30.17,5.18,5.04,25.66,5.55,25.97,5.28,6.19,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Trenton,Hancock,2024,1599,42.56,69.39,42.46,36.51,48.53,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; poverty; housing cost burden,31.94,50.33,18.24,5.13,25.45,7.63,20.08,29.92,15.97,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Waldo,Waldo,2024,926,42.47,48.57,28.92,48.53,25.57,monitor and screen after hazard-layer ingestion,renter cost burden; children/family demand; housing cost burden; poverty,29.86,74.07,10.37,1.06,12.2,10.04,20.19,4.15,2.54,3.46,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Monson,Piscataquis,2024,596,42.43,70.6,47.76,34.75,53.35,seasonal-market pressure and year-round housing review,seasonal housing pressure; renter cost burden; housing cost burden; older adults,42.15,45.45,14.93,0.35,31.38,17.82,20.3,47.47,16.67,3.14,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Northeast Piscataquis UT,Piscataquis,2024,1002,42.43,63.31,63.21,33.39,55.92,equity and recovery-capacity priority,renter cost burden; older adults; seasonal housing pressure; poverty,15.85,100.0,21.96,2.91,54.09,26.95,1.4,52.43,17.82,0.55,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
North Berwick,York,2024,5129,42.42,52.88,31.23,41.9,36.46,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; children/family demand; long commutes,39.35,66.18,4.43,4.94,20.9,12.67,21.19,7.51,20.36,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Clifton,Penobscot,2024,1111,42.4,60.13,39.65,35.21,43.39,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; long commutes; disability,42.16,81.25,9.18,3.36,21.15,18.27,16.02,13.48,19.85,2.01,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Milford,Penobscot,2024,3095,42.38,42.81,36.38,49.48,26.74,monitor and screen after hazard-layer ingestion,renter cost burden; disability; children/family demand; zero-car households,18.74,55.56,5.33,12.45,17.22,21.58,17.12,4.67,5.55,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Garland,Penobscot,2024,823,42.33,59.12,48.37,33.62,46.42,monitor and screen after hazard-layer ingestion,renter cost burden; poverty; disability; long commutes,27.54,46.67,19.27,2.22,23.21,21.63,17.98,16.81,20.59,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Woolwich,Sagadahoc,2024,3158,42.32,50.02,46.72,37.93,42.99,monitor and screen after hazard-layer ingestion,renter cost burden; long commutes; older adults; disability,21.15,64.29,13.33,5.48,33.91,20.52,15.04,9.44,23.52,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Sangerville,Piscataquis,2024,1136,42.28,56.93,46.44,40.09,41.78,monitor and screen after hazard-layer ingestion,renter cost burden; disability; housing cost burden; seasonal housing pressure,31.38,42.55,13.47,2.8,24.12,24.91,14.08,20.22,11.09,1.4,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Newburgh,Penobscot,2024,1475,42.25,49.45,36.5,40.99,33.24,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; children/family demand; poverty,33.87,42.86,11.7,2.25,21.42,13.27,18.85,3.6,14.64,0.48,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Turner,Androscoggin,2024,5891,42.21,44.69,32.84,46.62,29.99,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; disability; older adults,38.71,41.94,3.03,0.0,27.24,18.62,16.13,4.08,13.12,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Burnham,Waldo,2024,953,42.2,63.09,44.14,41.06,44.17,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; disability; housing cost burden,30.46,60.87,13.64,2.43,22.25,22.56,16.79,28.57,9.14,1.7,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Columbia Falls,Washington,2024,475,42.19,51.81,44.37,35.1,42.15,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; older adults; long commutes,32.26,58.82,12.42,0.0,30.11,19.37,16.84,5.52,19.63,6.1,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Avon,Franklin,2024,359,42.18,75.78,48.22,27.42,59.3,seasonal-market pressure and year-round housing review,renter cost burden; seasonal housing pressure; housing cost burden; long commutes,42.75,90.0,10.17,17.42,20.06,18.38,21.73,44.31,27.63,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Frenchboro,Hancock,2024,30,42.17,50.34,68.34,45.52,44.45,equity and recovery-capacity priority,zero-car households; older adults; disability; seasonal housing pressure,33.33,0.0,6.67,26.32,63.33,36.67,0.0,49.3,0.0,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Rockport,Knox,2024,3675,42.1,59.63,30.88,49.33,34.24,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; housing cost burden; children/family demand,36.58,53.45,5.34,3.87,24.22,10.13,20.87,25.77,2.8,0.47,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Somerville,Lincoln,2024,837,42.02,64.79,38.77,35.81,44.31,monitor and screen after hazard-layer ingestion,renter cost burden; children/family demand; housing cost burden; poverty,35.8,65.71,16.97,0.0,13.74,13.5,28.79,21.5,14.24,3.47,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Minot,Androscoggin,2024,2794,42.0,44.82,30.7,45.54,28.99,monitor and screen after hazard-layer ingestion,housing cost burden; renter cost burden; children/family demand; long commutes,40.82,35.71,6.23,2.14,21.3,10.84,16.36,0.0,14.75,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
New Sharon,Franklin,2024,1550,41.99,60.32,37.75,33.04,44.12,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; long commutes; children/family demand,42.36,60.98,9.61,4.47,23.81,12.19,20.0,11.82,24.43,0.5,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Stockton Springs,Waldo,2024,1652,41.95,49.78,43.48,41.5,38.53,monitor and screen after hazard-layer ingestion,housing cost burden; older adults; renter cost burden; poverty,34.08,30.11,14.55,1.14,30.21,14.88,12.53,11.27,15.12,1.4,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Jay,Franklin,2024,4657,41.92,40.95,34.81,47.69,25.52,monitor and screen after hazard-layer ingestion,housing cost burden; renter cost burden; children/family demand; disability,33.86,27.2,9.79,1.94,19.3,15.53,17.46,1.8,6.53,0.17,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
South Thomaston,Knox,2024,1381,41.9,53.18,38.8,47.37,33.25,monitor and screen after hazard-layer ingestion,renter cost burden; older adults; housing cost burden; disability,33.27,63.64,4.23,2.45,34.76,19.84,13.83,19.46,1.38,2.13,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Harmony,Somerset,2024,974,41.88,59.13,43.73,34.37,45.73,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; poverty; long commutes,36.22,43.48,15.81,0.0,22.9,17.97,16.43,16.2,20.37,2.44,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Bar Harbor,Hancock,2024,5244,41.86,53.87,37.77,48.47,36.35,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; older adults; housing cost burden,24.75,41.61,10.1,7.91,25.11,12.94,11.92,23.9,6.24,0.56,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Island Falls,Aroostook,2024,768,41.75,62.42,57.17,36.07,51.2,seasonal-market pressure and year-round housing review,seasonal housing pressure; poverty; disability; housing cost burden,37.06,17.95,20.71,3.45,26.3,26.34,20.7,41.6,11.7,2.19,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Millinocket,Penobscot,2024,4115,41.75,40.23,60.41,37.26,42.37,equity and recovery-capacity priority,disability; older adults; poverty; long commutes,17.58,20.48,17.13,9.59,36.16,31.01,16.11,8.11,16.92,3.14,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Enfield,Penobscot,2024,1462,41.73,63.1,42.92,36.07,45.49,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; seasonal housing pressure; disability,42.05,58.33,6.84,3.51,27.98,23.96,18.47,24.19,16.16,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Kingman UT,Penobscot,2024,138,41.73,73.21,57.18,23.31,62.15,resilience-first housing and infrastructure planning,renter cost burden; poverty; seasonal housing pressure; long commutes,24.36,100.0,31.16,8.97,33.33,13.04,10.14,37.1,26.67,2.56,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Medway,Penobscot,2024,996,41.66,45.98,38.28,39.15,32.7,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; children/family demand; disability,30.38,44.44,11.4,1.95,22.99,17.07,18.27,0.0,16.05,0.65,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Stetson,Penobscot,2024,1151,41.65,59.58,35.92,42.32,38.21,monitor and screen after hazard-layer ingestion,renter cost burden; children/family demand; housing cost burden; seasonal housing pressure,32.13,73.68,10.35,5.84,14.16,16.62,22.42,21.33,10.04,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Verona Island,Hancock,2024,481,41.65,58.05,32.74,43.59,36.64,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; children/family demand; seasonal housing pressure,33.65,100.0,11.43,1.7,24.53,5.82,20.58,17.79,10.98,0.85,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Glenburn,Penobscot,2024,4737,41.63,51.74,28.7,44.02,32.83,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; children/family demand; disability,34.5,72.78,7.13,1.81,11.99,14.65,16.87,9.49,14.56,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Thorndike,Waldo,2024,1403,41.6,44.69,31.48,47.26,31.53,monitor and screen after hazard-layer ingestion,children/family demand; renter cost burden; zero-car households; housing cost burden,28.48,36.0,6.49,16.32,11.69,8.05,49.75,3.06,17.35,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Sullivan,Hancock,2024,1246,41.53,60.54,43.29,37.44,44.65,monitor and screen after hazard-layer ingestion,housing cost burden; renter cost burden; seasonal housing pressure; disability,40.84,34.92,13.64,1.69,22.47,18.86,17.98,23.09,15.71,0.56,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Lyman,York,2024,4612,41.45,51.49,38.57,43.12,38.73,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; disability; older adults,35.12,37.7,8.95,1.45,26.06,18.32,15.22,16.14,15.22,1.02,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Corinna,Penobscot,2024,2192,41.43,49.05,43.81,34.19,41.64,monitor and screen after hazard-layer ingestion,renter cost burden; long commutes; poverty; children/family demand,24.2,43.43,17.75,1.9,19.02,20.12,20.99,4.53,24.8,1.34,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Levant,Penobscot,2024,3069,41.43,50.66,30.57,41.76,32.68,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; children/family demand; long commutes,36.8,45.74,9.0,0.0,18.12,11.44,19.81,6.36,15.15,0.32,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Ludlow,Aroostook,2024,444,41.41,54.31,36.92,42.38,34.96,monitor and screen after hazard-layer ingestion,renter cost burden; children/family demand; poverty; housing cost burden,26.99,45.45,15.32,2.02,12.39,16.22,22.75,15.2,8.44,1.01,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Standish,Cumberland,2024,10662,41.33,54.2,27.17,45.6,36.75,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; seasonal housing pressure; children/family demand,30.08,57.45,7.33,2.14,15.18,10.48,16.36,19.23,15.68,0.59,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Arundel,York,2024,4418,41.31,49.03,28.1,46.04,29.7,monitor and screen after hazard-layer ingestion,housing cost burden; renter cost burden; children/family demand; older adults,42.74,34.2,5.85,2.04,15.87,9.87,20.37,8.65,10.27,0.68,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Pownal,Cumberland,2024,1696,41.3,43.17,29.22,47.72,27.66,monitor and screen after hazard-layer ingestion,renter cost burden; children/family demand; housing cost burden; older adults,29.46,78.95,5.54,0.99,23.47,13.01,24.17,1.21,13.24,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Easton,Aroostook,2024,1433,41.27,47.56,44.08,40.4,35.32,monitor and screen after hazard-layer ingestion,renter cost burden; children/family demand; poverty; older adults,17.6,41.27,15.07,9.58,25.75,14.45,21.21,10.0,9.56,2.58,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Lincolnville,Waldo,2024,2396,41.11,52.76,37.09,47.17,35.54,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; housing cost burden; older adults,28.98,38.74,11.81,1.58,26.0,13.56,17.03,21.39,7.53,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Machiasport,Washington,2024,1016,41.08,56.97,44.83,39.43,41.81,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; poverty; housing cost burden,30.89,36.67,15.89,1.32,29.82,16.4,12.8,23.23,11.03,0.66,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Milo,Piscataquis,2024,2165,41.04,60.01,48.84,25.47,53.43,monitor and screen after hazard-layer ingestion,long commutes; renter cost burden; disability; poverty,30.05,48.76,16.35,5.91,18.24,25.82,16.81,15.28,53.09,0.47,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Frankfort,Waldo,2024,1098,40.99,38.45,46.19,41.57,33.34,monitor and screen after hazard-layer ingestion,housing cost burden; poverty; disability; children/family demand,40.31,0.0,16.37,1.65,21.4,19.93,15.76,0.96,15.36,0.82,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Greenbush,Penobscot,2024,1378,40.98,55.7,39.49,33.71,41.95,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; disability; long commutes,36.54,56.76,10.21,0.9,19.09,23.0,17.13,11.45,22.14,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Bingham,Somerset,2024,660,40.96,61.79,54.43,34.41,50.86,monitor and screen after hazard-layer ingestion,seasonal housing pressure; older adults; renter cost burden; poverty,29.24,33.33,16.09,9.38,38.33,19.06,15.61,31.66,15.48,0.31,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
St. Francis,Aroostook,2024,400,40.94,52.26,55.44,24.33,51.77,monitor and screen after hazard-layer ingestion,long commutes; renter cost burden; older adults; poverty,22.73,44.9,18.75,6.14,38.75,20.5,12.5,7.05,33.08,2.19,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Roque Bluffs,Washington,2024,369,40.92,65.34,36.99,42.8,42.54,seasonal-market pressure and year-round housing review,renter cost burden; seasonal housing pressure; children/family demand; housing cost burden,35.16,80.0,11.17,0.71,26.29,11.65,24.12,34.72,5.7,2.86,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
